,Alpha=25.0,X,Y,P Intrados,P Extrados,Px,dx,xi_pi_dx,pi_dx
0,-0.3038650049368573,0.00021,0.00185,97546,65375,-0.3038650049368573,,,
1,-0.3995847557172396,0.00127,-0.00393,96616,68299,28317.0,0.0010600000000000002,0.038120345400000005,30.016020000000005
2,-0.12976562353910182,0.00418,0.00936,98869,61330,37539.0,0.0029099999999999994,0.45661688819999985,109.23848999999997
3,-0.469342975329544,0.00806,-0.00839,95942,70726,25216.0,0.0038799999999999998,0.7885749247999998,97.83807999999999
4,0.4508214838779514,0.01232,0.0177,99571,52197,47374.0,0.00426,2.4863391167999995,201.81324
5,-0.5260354708114109,0.02038,-0.01227,95431,72745,22686.0,0.00806,3.7264658807999993,182.84915999999998
6,-0.5734842127013663,0.038,-0.01541,95026,74401,20625.0,0.01762,13.809675,363.4125
7,-0.6135790573188118,0.06074,-0.01777,94689,75743,18946.0,0.022740000000000003,26.168738109600007,430.83204000000006
8,-0.6478504729588874,0.08844,-0.01934,94405,76839,17566.0,0.027700000000000002,43.032976008000006,486.57820000000004
9,-0.6782052836757133,0.12084,-0.02017,94161,77770,16391.0,0.0324,64.174305456,531.0684
10,-0.705960834590172,0.15765,-0.02032,93951,78597,15354.0,0.03681000000000001,89.10074366100002,565.1807400000001
11,-0.7318780449338746,0.1985,-0.01987,93770,79359,14411.0,0.04085,116.854835975,588.68935
12,-0.756555016904037,0.24296,-0.01891,93615,80075,13540.0,0.04446,146.259101664,601.9884
13,-0.7806350004685094,0.29055,-0.01754,93481,80763,12718.0,0.047589999999999966,175.85527709099986,605.2496199999996
14,-0.8043183024138187,0.34071,-0.01586,93363,81430,11933.0,0.05016000000000004,203.93513228880016,598.5592800000004
15,-0.8272645036927136,0.39288,-0.01396,93259,82078,11181.0,0.052169999999999994,229.1719210776,583.3127699999999
16,-0.848455082989969,0.44643,-0.0119,93164,82706,10458.0,0.053549999999999986,250.01236253699994,560.0258999999999
17,-0.8675513286323733,0.50074,-0.00976,93075,83312,9763.0,0.05430999999999997,265.50663411219983,530.2285299999998
18,-0.8845489424357774,0.55519,-0.0076,92987,83893,9094.0,0.05445,274.912488477,495.1683
19,-0.8991766308817042,0.60914,-0.00549,92898,84452,8446.0,0.05395000000000005,277.5617679380003,455.66170000000045
20,-0.9115561383139867,0.66197,-0.00349,92808,84999,7809.0,0.05282999999999993,273.0953726558996,412.5494699999995
21,-0.922134046511138,0.71305,-0.00168,92721,85538,7183.0,0.051080000000000014,261.6234927020001,366.90764000000013
22,-0.9315950991708046,0.76178,-0.00014,92639,86075,6564.0,0.04873000000000005,243.66578462160024,319.86372000000034
23,-0.941711052556877,0.80752,0.00104,92560,86612,5948.0,0.04574,219.6951186304,272.06152000000003
24,-0.9535047055160636,0.84964,0.00182,92483,87150,5333.0,0.042119999999999935,190.8512006543997,224.62595999999965
25,-0.9675316444262456,0.88756,0.0022,92407,87693,4714.0,0.037920000000000065,158.65568129280027,178.7548800000003
26,-0.9843726867112562,0.92071,0.00218,92335,88248,4087.0,0.03315000000000001,124.74151967550004,135.48405000000005
27,-1.0045669071541514,0.94859,0.00185,92252,88823,3429.0,0.027880000000000016,90.68569726680005,95.60052000000006
28,-1.03001207638607,0.97077,0.00132,92132,89414,2718.0,0.022179999999999978,58.523102434799945,60.28523999999994
29,-1.0644072469902257,0.9869,0.00071,91935,90006,1929.0,0.016129999999999978,30.707166512999958,31.114769999999957
30,-1.1161517088492177,0.99671,0.00021,91630,90536,1094.0,0.009809999999999985,10.696831259399984,10.732139999999983
31,-1.2051082723328697,1.0,0.0,91219,90825,394.0,0.003290000000000015,1.296260000000006,1.296260000000006
